GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Type_Occupation,Family_Members,Label,Age,Employment_Status,Employed_years,income_bin
M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,rejected,51.43013698630137,N,,14.4-22.2w
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,2,rejected,37.14246575342466,Y,1.6054794520547946,30-66w
F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,2,rejected,42.76986301369863,Y,1.6054794520547946,30-66w
F,Y,N,0,162000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,2,rejected,37.14246575342466,Y,1.6054794520547946,14.4-22.2w
F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,rejected,37.14246575342466,Y,1.6054794520547946,30-66w
F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,rejected,60.64109589041096,N,,14.4-22.2w
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,3,rejected,49.78904109589041,Y,1.8575342465753424,30-66w
M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Core staff,3,rejected,49.78904109589041,Y,1.8575342465753424,30-66w
M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Core staff,1,rejected,49.78904109589041,Y,1.8575342465753424,30-66w
F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,rejected,51.917808219178085,Y,2.745205479452055,7.2-10.8w
F,Y,Y,0,162000.0,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,rejected,51.917808219178085,Y,2.745205479452055,14.4-22.2w
M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,Unknown,3,rejected,24.4027397260274,Y,2.5013698630136987,30-66w
